applicant_id,credit_score,total_credit_limit,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,estimated_debt
APP00001,762.506983622944,96243.13873499089,24.073823692231006,6,5,Late>60,695.0821060479298
APP00002,504.12822468372167,38015.73158587844,28.658793243770404,16,4,Late>60,326.8454974591087
APP00003,687.0285439461321,78465.24317366307,34.311307182174424,7,3,On Time,807.6735184966705
APP00004,771.5723342678676,45526.074871297016,45.56798581752478,18,6,Late>60,622.3594602188501
APP00005,770.2795480460687,131466.0053260941,22.865260174309178,18,6,On Time,901.8013247574772
APP00006,670.9899631555725,72401.90180198666,26.986969561523487,20,1,Late>60,586.172376037988
APP00007,710.7994111235839,57637.50327035355,36.7371210622722,12,3,On Time,635.2307806110265
APP00008,601.6583809330194,110680.37558555396,4.5715515152068855,0,8,On Time,151.7943116135419
APP00009,873.3302835902617,48964.318738177855,39.832669187447,20,9,On Time,585.1138530859652
APP00010,559.6211469594334,69343.6054222232,18.96548620616961,4,7,On Time,394.5405576363728
APP00011,793.9367317105945,49401.18442866469,53.48847200240176,8,9,On Time,792.7181610594349
APP00012,729.2675346284341,20267.3248092884,18.474959910506996,5,5,On Time,112.33140400344811
APP00013,778.3995056601374,62014.98066562381,27.954451973247863,15,10,On Time,520.0784395917226
APP00014,593.0798482700724,85613.30577494767,12.247966416134375,20,8,On Time,314.57666817174066
APP00015,538.4770957740153,31726.907851869775,26.492917497967134,4,1,On Time,252.16150565555748
APP00016,813.5466712255504,71331.9317697721,59.97593253193877,4,9,On Time,1283.4597381590133
APP00017,774.6759184678258,30800.942393264708,32.341101458458255,0,0,On Time,298.84092088701055
APP00018,620.517409622374,89422.57216750259,14.670682428154633,5,5,On Time,393.56704745345087
APP00019,735.010963418981,157559.13745631027,38.41260463144415,16,3,On Time,1815.6770559541828
APP00020,748.9292143643579,133690.0317213103,37.89605941152511,11,0,On Time,1519.8976154518355
APP00021,900.0,26969.300615763645,36.06373145585074,1,1,On Time,291.78408448770307
APP00022,589.9755251791398,27752.48044882444,43.84336294329087,7,3,Late>60,365.02862186831817
APP00023,553.4883668514767,30558.14580518754,41.52871161821431,17,7,On Time,380.7121274192936
APP00024,619.3003327062055,58950.348784105496,33.464453827632425,1,8,On Time,591.8223675025575
APP00025,730.9021981076523,129709.0539903106,11.875000600153351,6,6,Late <30,462.08852819407855
APP00026,693.2821621341332,27404.371257033454,2.131462298380417,13,2,On Time,17.523415243556027
APP00027,612.3842801406217,98675.07785837329,19.92469336673359,18,9,Late <30,589.8212007799951
APP00028,473.92737604682384,26568.737036444454,29.548919675388724,18,3,On Time,235.52324296992677
APP00029,551.1026868335782,99725.10874080673,40.802419830643025,7,1,Late>60,1220.7077263496774
APP00030,616.5883325370685,52897.93397287155,47.28294511428783,7,10,On Time,750.3510326095521
APP00031,750.5800889971372,66883.7845403791,43.76542733745539,3,9,Late <30,878.159223706795
APP00032,709.5632930004296,89328.40636772708,37.38543941487914,5,0,On Time,1001.8745172865092
APP00033,761.6361791718239,25973.809265528904,22.20903809382191,14,1,Last 30-60,173.05599582593874
APP00034,714.3848021323203,62525.267210849095,18.39781076391254,13,4,On Time,345.09841023248015
APP00035,712.8167036004506,92899.96494418908,8.374765602141427,19,10,Late>60,233.4046292564217
APP00036,580.5085695993365,51655.34745245464,17.233155239969236,14,9,On Time,267.05538648681005
APP00037,623.1445429212687,39578.06359435397,34.37100274712107,9,4,Last 30-60,408.1013197581817
APP00038,661.6166459438755,43420.95665752905,29.619017526316703,2,2,On Time,385.82582287463725
APP00039,742.4438357198885,29544.534158545604,46.729105960818494,15,10,On Time,414.17690017730973
APP00040,711.599313632543,65932.26433838226,25.96044052189943,1,2,On Time,513.489188049217
APP00041,554.948473177247,47927.64344706332,18.85597393229616,7,2,Late <30,271.1167186422632
APP00042,681.3571295129747,74284.15593871787,42.888370503147236,14,2,Last 30-60,955.7779207239892
APP00043,737.2379832533713,23943.071401227353,30.832427010324974,11,6,Late <30,221.4669004144025
APP00044,680.2952979505311,26429.82127341801,14.580613115457675,14,5,On Time,115.60889960952025
APP00045,710.7417838567144,105545.01625323576,10.55898363287308,18,7,Last 30-60,334.3344297447719
APP00046,809.7925049222545,49645.86229309155,2.887821911618865,3,4,On Time,43.01052268536077
APP00047,693.7187334576292,153425.93961050193,19.56692004086991,18,6,On Time,900.6219277662079
APP00048,736.7663611639857,123907.20485786832,22.970592173444395,2,10,On Time,853.8665610424564
APP00049,575.5611986436114,69786.87354192264,37.44078179236259,4,5,On Time,783.8625312762985
APP00050,736.0350897986744,70490.13815594763,61.88278551713906,13,6,Late <30,1308.6378301734023
APP00051,800.8307025576057,62861.33702870323,29.848942361234847,14,1,On Time,562.9033277159762
APP00052,562.131726093372,30267.892920907056,48.038532568761504,17,6,On Time,436.2075479606338
APP00053,843.9511843672462,77843.35786398516,63.71533487162681,5,10,On Time,1487.9446841507095
APP00054,706.4667560363059,105538.51258271547,23.869119765203347,14,1,On Time,755.7334190034768
APP00055,621.8591736751413,82614.29861455454,25.68744114447266,10,2,On Time,636.6449800059778
APP00056,662.3060427890082,97307.9160864654,17.12823959472217,0,0,Last 30-60,500.0139903576298
APP00057,607.1441065270194,77104.58962074514,17.186449638694384,3,5,Late <30,397.54624392874024
APP00058,753.1759433021839,32979.27984646571,7.803362610558384,13,2,On Time,77.20478378311564
APP00059,470.51123946746355,27298.528751374834,16.930757047046267,9,6,Last 30-60,138.65542740940037
APP00060,657.88783687835,56567.966054206176,19.769685785832262,20,0,On Time,335.4992743305845
APP00061,644.2300165602496,217670.24617711583,36.20885438389505,14,1,On Time,2364.4770742601327
APP00062,900.0,39715.99040484112,37.51181254611055,15,3,Late>60,446.94563614485753
APP00063,702.3869767180395,100999.21294902079,29.426387533256214,12,1,On Time,891.6125942375265
APP00064,701.6645900433854,38229.921944132315,49.710770078274805,8,9,On Time,570.1316579625462
APP00065,659.5859247975203,58543.86277753656,28.30904331987937,12,1,Late <30,497.1962242447067
APP00066,560.3245516897787,88698.93865953927,14.403989542711773,3,3,On Time,383.285575470491
APP00067,758.9899411920907,50327.98363182041,49.994592629432994,18,2,Late <30,754.8381118600898
APP00068,768.3873021694349,46766.5174249513,28.78779476180312,5,7,On Time,403.8914716061362
APP00069,723.7062845397163,66658.29105823534,37.70387762512855,18,7,On Time,753.9828146279716
APP00070,608.6568847233297,111863.60583992761,21.686024929692728,7,6,On Time,727.7630834909972
APP00071,530.2013955723019,58706.96385061869,61.56356475929569,18,0,Late>60,1084.2629912517582
